relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	0.0	1	0	0	0	0	0	0	17	6	0.65
1	2.0	2	0	0	4	0	0	0	21	2	0.66
1	1.0	2	0	0	0	0	0	0	17	7	0.47
1	0.0	1	0	0	0	0	0	0	45	1	0.51
1	1.43	5	0	0	4	0	1	0	32	7	0.53
1	0.0	2	0	6	0	0	0	0	5	1	0.15
1	1.0	2	0	0	0	0	0	0	39	7	0.6
1	0.83	2	0	5	0	0	0	0	58	6	0.6
1	2.0	2	0	0	2	0	0	0	6	1	0.55
1	0.0	2	0	0	0	0	1	0	3	1	0.6
1	2.0	2	0	0	4	0	0	0	7	2	0.47
1	1.5	5	0	0	4	0	1	0	17	6	0.35
1	0.0	1	0	0	0	0	0	0	3	4	0.27
1	4.33	4	5	5	0	0	0	0	64	6	0.42
1	1.5	5	0	0	4	0	1	0	23	6	0.38
1	0.0	1	0	0	0	0	0	0	11	7	0.48
1	0.0	1	0	0	0	0	0	0	25	6	0.74
1	1.5	5	0	0	4	0	1	0	100	6	0.51
1	0.0	1	0	0	0	0	0	0	36	1	0.4
1	0.0	1	0	0	0	0	0	0	12	2	0.6
1	0.0	1	0	0	0	0	0	0	7	4	0.39
1	1.75	5	0	0	4	0	1	0	12	4	0.38
1	2.0	2	0	0	4	0	0	0	8	2	0.5
1	2.0	2	0	0	14	0	0	0	13	7	0.5
1	2.0	2	0	0	6	0	0	0	4	3	0.44
1	3.67	4	2	2	0	0	0	0	38	3	0.39
1	0.0	2	2	28	0	0	0	0	42	1	0.21
1	0.0	1	0	0	0	0	0	0	13	2	0.39
1	0.0	1	0	0	0	0	0	0	70	1	0.45
1	0.0	1	0	0	0	0	0	0	5	2	0.45
1	0.0	2	0	7	0	0	0	0	5	1	0.13
1	2.0	2	0	0	12	0	0	0	12	6	0.6
1	0.0	1	0	0	0	0	0	0	12	9	0.67
1	2.0	2	0	0	4	0	0	0	16	2	0.64
1	0.0	5	14	42	0	0	0	0	39	1	0.18
1	2.5	5	0	0	4	0	1	0	7	2	0.37
1	2.5	5	0	0	4	0	1	0	17	2	0.47
1	4.76	4	16	16	0	0	0	0	72	17	0.49
1	0.0	2	0	4	0	0	0	0	5	1	0.13
1	0.0	2	11	70	0	0	0	0	49	1	0.14
1	0.0	1	0	0	0	0	0	0	135	1	0.54
1	0.0	1	0	11	0	0	0	0	31	10	0.55
1	0.0	1	0	0	0	0	0	0	49	5	0.56
1	0.0	2	0	0	0	0	1	0	5	1	0.26
1	1.38	5	0	0	4	0	1	0	40	8	0.54
1	1.6	5	0	0	4	0	1	0	37	5	0.5
1	1.6	5	0	0	4	0	1	0	9	5	0.36
1	0.0	1	0	0	0	0	0	0	11	2	0.58
1	0.0	1	0	0	0	0	0	0	39	1	0.43
