relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	7	0	0	13	6	0	17	0	100	128	26	23	0.52
0	6	15	11	80	7	0	5	0	66	90	6	16	0.37
0	4	0	0	1	1	0	0	0	5	3	0	1	0.71
0	7	0	0	9	4	0	12	0	93	86	24	23	0.62
0	6	2	0	3	0	0	2	0	114	2	1	3	0.38
0	6	0	0	14	6	0	24	0	50	68	16	13	0.52
1	4	7	0	0	0	0	0	0	43	55	55	55	0.24
0	6	2	0	3	0	0	2	0	85	2	1	3	0.5
1	3	0	0	0	0	0	0	0	65	62	0	31	0.71
1	6	2	0	1	0	0	2	0	55	32	0	8	0.47
0	6	0	0	13	6	0	21	0	65	80	18	15	0.53
0	7	0	0	13	6	0	22	0	86	128	26	23	0.58
0	6	1	0	2	0	0	1	0	11	1	1	2	0.52
1	10	0	2	1	0	0	5	0	27	4	4	4	0.33
0	7	1	0	0	1	0	0	0	1	2	0	2	0.16
1	6	2	0	1	0	0	2	0	57	26	0	7	0.57
1	6	2	0	1	0	0	2	0	55	30	0	8	0.51
0	6	2	0	3	0	0	2	0	28	2	1	3	0.51
0	6	0	0	11	5	0	18	0	81	67	17	15	0.53
0	5	2	2	1	1	0	0	2	56	2	0	1	0.43
1	4	0	0	6	0	0	0	0	10	6	6	6	0.41
1	6	0	3	1	0	0	5	0	38	9	9	9	0.41
1	4	0	0	0	0	0	1	0	26	69	0	35	0.13
1	10	0	3	1	0	0	6	0	39	8	8	8	0.37
1	10	0	3	1	0	0	6	0	38	8	8	8	0.36
0	3	0	0	4	0	0	0	0	11	2	2	2	0.73
0	5	0	0	4	0	26	26	0	38	7	0	1	0.59
0	6	0	0	14	6	0	22	0	69	80	18	15	0.52
0	3	14	0	0	0	0	0	0	18	28	1	15	0.14
0	4	0	0	0	0	0	0	0	9	0	12	12	0.39
1	10	0	3	1	0	0	7	0	43	8	8	8	0.39
1	4	0	0	0	0	0	1	0	39	61	0	31	0.17
1	4	0	0	0	0	0	1	0	44	75	0	38	0.22
0	7	0	0	14	6	0	22	0	100	128	26	23	0.59
1	4	0	0	0	0	0	1	0	45	71	0	36	0.18
1	4	0	0	9	0	0	0	0	26	9	9	9	0.65
0	5	0	0	15	1	0	1	0	15	15	3	6	0.44
0	4	2	0	0	0	0	0	32	16	24	4	7	0.37
1	6	0	3	1	0	0	4	0	39	9	9	9	0.44
1	6	2	0	1	0	0	2	0	49	28	0	7	0.51
0	3	14	0	0	0	0	0	0	12	28	1	15	0.15
0	3	4	4	0	0	0	0	0	2	8	1	5	0.06
0	5	0	0	0	0	4	0	0	26	12	12	12	0.47
1	10	0	2	1	0	0	6	0	32	5	5	5	0.35
1	4	0	0	11	0	0	0	0	28	11	11	11	0.56
0	5	0	21	0	0	0	11	0	20	23	0	3	0.26
1	6	0	3	1	0	0	4	0	36	9	9	9	0.39
0	7	0	0	14	6	0	20	0	95	128	26	23	0.53
0	3	4	0	0	0	0	0	0	9	8	1	5	0.14
0	11	0	3	0	3	0	0	1	16	6	0	4	0.38
1	6	0	1	1	0	0	1	0	27	6	6	6	0.39
1	4	0	0	11	0	0	0	0	34	11	11	11	0.62
1	7	0	0	1	0	7	1	0	42	6	0	3	0.43
1	10	0	3	1	0	0	6	0	36	7	7	7	0.36
0	6	0	0	11	5	0	19	0	71	62	16	14	0.56
0	6	0	0	9	4	0	12	0	82	82	23	22	0.59
0	3	21	0	0	0	0	0	0	37	42	1	22	0.34
1	6	0	2	1	0	0	6	0	33	6	6	6	0.42
1	1	0	9	0	0	8	0	0	14	0	0	0	0.34
1	4	0	0	0	0	6	0	0	99	54	54	54	0.58
1	4	0	0	9	0	0	0	0	28	9	9	9	0.62
0	6	56	56	0	0	0	3	56	34	52	4	14	0.42
0	7	0	0	0	1	0	0	1	16	3	0	3	0.38
0	10	1	0	5	3	0	0	0	14	4	0	2	0.42
1	6	1	0	0	0	0	0	0	13	6	0	3	0.39
0	3	0	0	0	0	0	0	0	15	5	4	6	0.57
1	6	2	0	1	0	0	2	0	59	24	0	6	0.5
0	5	0	0	0	0	0	1	0	8	4	0	2	0.3
1	4	0	0	10	0	0	0	0	29	10	10	10	0.65
1	6	3	0	2	0	0	1	0	62	2	2	2	0.47
1	6	2	0	1	0	0	2	0	51	24	0	6	0.53
0	6	0	0	12	0	0	0	0	17	2	0	1	0.07
1	10	0	4	1	0	0	9	0	40	9	9	9	0.36
1	10	0	3	1	0	0	5	0	33	6	6	6	0.35
1	2	0	0	0	0	0	0	0	27	32	0	16	0.29
0	3	7	0	0	0	0	0	0	12	14	1	8	0.21
1	10	0	3	1	0	0	7	0	42	9	9	9	0.38
1	3	0	0	0	0	0	0	0	23	46	0	23	0.28
0	6	0	0	12	4	0	8	8	105	4	4	2	0.4
0	3	0	0	0	0	0	0	0	8	5	5	5	0.53
1	10	0	2	1	0	0	3	0	36	8	8	8	0.36
1	6	2	0	1	0	0	2	0	40	18	0	5	0.45
1	6	0	3	1	0	0	4	0	29	4	4	4	0.42
1	4	0	0	0	0	8	0	0	103	53	53	53	0.58
1	6	0	3	1	0	0	4	0	28	4	4	4	0.41
1	10	10	0	2	0	9	9	1	53	1	0	1	0.35
0	3	4	0	0	0	0	0	0	14	8	1	5	0.17
1	4	0	0	0	0	9	0	0	99	49	49	49	0.56
0	7	0	0	13	6	0	21	0	102	128	26	23	0.5
1	6	0	1	1	0	0	2	0	24	4	4	4	0.39
0	3	4	0	0	0	0	0	0	13	8	1	5	0.2
0	6	1	0	2	0	0	1	0	12	1	1	2	0.57
0	5	0	0	0	0	6	0	0	31	12	12	12	0.44
1	6	0	3	1	0	0	4	0	32	8	8	8	0.39
0	6	0	0	14	6	0	23	0	73	80	18	15	0.52
1	10	0	3	1	0	0	6	0	45	10	10	10	0.39
0	3	23	0	0	0	0	0	0	39	46	1	24	0.32
1	6	2	0	1	0	0	2	0	58	26	0	7	0.52
1	4	0	2	0	0	0	0	0	105	54	69	69	0.54
1	6	0	1	1	0	0	1	0	31	7	7	7	0.42
0	7	0	0	13	6	0	21	0	91	128	26	23	0.55
