relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
0.0	13.67	6.0	0.0	0.0	28.0	6.0	22.0	0.0	10.0	6.0	0.14
0.0	4.0	4.0	0.0	0.0	5.0	5.0	5.0	5.0	10.0	5.0	0.83
0.0	17.0	7.0	0.0	0.0	31.0	6.0	25.0	0.0	13.0	6.0	0.19
0.0	21.14	7.0	0.0	0.0	41.0	14.0	20.0	0.0	19.0	7.0	0.16
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.33
0.0	17.0	6.0	0.0	0.0	20.0	4.0	16.0	0.0	12.0	4.0	0.2
0.0	18.6	7.0	0.0	0.0	59.0	10.0	29.0	0.0	15.0	10.0	0.11
0.0	1.12	2.0	0.0	0.0	0.0	0.0	8.0	0.0	3.0	8.0	0.17
0.0	31.21	11.0	0.0	0.0	613.0	48.0	178.0	5.0	112.0	48.0	0.14
0.0	14.0	7.0	0.0	0.0	17.0	3.0	6.0	0.0	10.0	3.0	0.32
0.0	15.71	7.0	0.0	0.0	38.0	7.0	17.0	0.0	21.0	7.0	0.19
0.0	9.6	9.0	0.0	0.0	78.0	0.0	38.0	0.0	34.0	55.0	0.38
0.0	16.0	7.0	0.0	6.0	12.0	3.0	9.0	0.0	3.0	3.0	0.1
0.0	27.0	11.0	0.0	0.0	11.0	1.0	4.0	0.0	10.0	1.0	0.34
0.0	22.0	10.0	0.0	0.0	21.0	3.0	15.0	0.0	11.0	3.0	0.22
0.0	8.0	5.0	0.0	0.0	15.0	0.0	0.0	5.0	1.0	5.0	0.14
0.0	20.1	7.0	0.0	0.0	60.0	10.0	31.0	0.0	25.0	10.0	0.14
0.0	4.56	4.0	0.0	0.0	9.0	8.0	8.0	8.0	0.0	9.0	0.0
0.0	14.0	6.0	0.0	0.0	14.0	3.0	12.0	0.0	7.0	3.0	0.19
0.0	16.5	7.0	0.0	0.0	30.0	6.0	24.0	0.0	9.0	6.0	0.12
0.0	1.25	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.12
0.0	15.43	7.0	0.0	0.0	37.0	7.0	16.0	0.0	17.0	7.0	0.15
0.0	20.33	11.0	1.0	0.0	18.0	0.0	5.0	0.0	14.0	3.0	0.26
0.0	9.81	9.0	0.0	0.0	80.0	0.0	42.0	0.0	40.0	58.0	0.44
0.0	2.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	5.0	0.45
0.0	2.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	4.0	0.86
0.0	15.5	6.0	0.0	0.0	29.0	6.0	22.0	0.0	19.0	6.0	0.23
0.0	17.86	7.0	0.0	0.0	39.0	14.0	18.0	0.0	11.0	7.0	0.08
0.0	4.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	2.0	0.33
0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5.0	0.34
0.0	13.83	6.0	0.0	0.0	28.0	6.0	20.0	0.0	14.0	6.0	0.19
0.0	17.0	6.0	0.0	0.0	5.0	1.0	4.0	0.0	3.0	1.0	0.13
0.0	16.0	7.0	0.0	0.0	37.0	7.0	16.0	0.0	14.0	7.0	0.14
0.0	32.98	11.0	0.0	0.0	665.0	48.0	216.0	3.0	97.0	48.0	0.13
